,Magnet-sensor distance [cm],Bx[mT],By[mT],Bz[mT],Bx[LSB],By[LSB],Bz[LSB],Temperature[C],"Mode[MCM=0,ULOW_POWER=1,LOW_POWER=2,FAST=3]"
37629,37,0.14,-0.37,-0.03,4,-11,-1,19.74,2
37630,37,0.0,-0.41,-0.1,0,-12,-3,19.61,2
37631,37,0.17,-0.41,-0.14,5,-12,-4,19.61,2
37632,37,0.0,-0.41,0.03,0,-12,1,19.54,2
37633,37,0.03,-0.31,-0.1,1,-9,-3,19.74,2
37634,37,0.1,-0.41,-0.07,3,-12,-2,19.61,2
37635,37,0.07,-0.31,-0.14,2,-9,-4,19.61,2
37636,37,0.17,-0.31,-0.1,5,-9,-3,19.74,2
37637,37,0.07,-0.34,-0.1,2,-10,-3,19.8,2
37638,37,0.1,-0.31,-0.03,3,-9,-1,19.34,2
37639,37,0.0,-0.37,-0.03,0,-11,-1,19.74,2
37640,37,0.0,-0.41,-0.07,0,-12,-2,19.61,2
37641,37,0.07,-0.44,-0.03,2,-13,-1,19.54,2
37642,37,0.14,-0.37,-0.03,4,-11,-1,19.8,2
37643,37,0.17,-0.44,-0.03,5,-13,-1,19.54,2
37644,37,0.1,-0.37,-0.07,3,-11,-2,19.47,2
37645,37,0.03,-0.41,-0.1,1,-12,-3,19.54,2
37646,37,0.03,-0.44,0.0,1,-13,0,19.61,2
37647,37,0.1,-0.41,-0.03,3,-12,-1,19.47,2
37648,37,0.14,-0.37,-0.07,4,-11,-2,19.67,2
37649,37,0.1,-0.54,-0.1,3,-16,-3,19.61,2
37650,37,0.03,-0.41,-0.07,1,-12,-2,19.54,2
37651,37,0.2,-0.31,-0.07,6,-9,-2,19.74,2
37652,37,0.07,-0.44,-0.07,2,-13,-2,19.47,2
37653,37,0.07,-0.2,-0.1,2,-6,-3,19.54,2
37654,37,0.1,-0.24,-0.07,3,-7,-2,19.54,2
37655,37,0.07,-0.37,-0.07,2,-11,-2,19.61,2
37656,37,0.2,-0.47,-0.07,6,-14,-2,19.54,2
37657,37,0.2,-0.34,-0.2,6,-10,-6,19.93,2
37658,37,0.07,-0.27,-0.07,2,-8,-2,19.67,2
37659,37,0.17,-0.44,-0.1,5,-13,-3,19.61,2
37660,37,0.17,-0.34,0.0,5,-10,0,19.54,2
37661,37,-0.03,-0.34,-0.14,-1,-10,-4,19.54,2
37662,37,0.1,-0.31,-0.17,3,-9,-5,19.67,2
37663,37,-0.03,-0.47,-0.14,-1,-14,-4,19.54,2
37664,37,0.17,-0.37,-0.07,5,-11,-2,19.34,2
37665,37,0.0,-0.41,-0.07,0,-12,-2,19.74,2
37666,37,0.1,-0.41,-0.03,3,-12,-1,19.34,2
37667,37,0.14,-0.37,-0.07,4,-11,-2,19.8,2
37668,37,0.17,-0.41,-0.07,5,-12,-2,19.87,2
37669,37,0.1,-0.44,-0.14,3,-13,-4,19.54,2
37670,37,0.17,-0.41,-0.03,5,-12,-1,19.61,2
37671,37,0.1,-0.41,-0.1,3,-12,-3,19.67,2
37672,37,0.17,-0.54,-0.14,5,-16,-4,19.74,2
37673,37,0.24,-0.41,-0.03,7,-12,-1,19.54,2
37674,37,0.07,-0.44,-0.14,2,-13,-4,19.74,2
37675,37,-0.03,-0.44,-0.14,-1,-13,-4,19.61,2
37676,37,0.14,-0.41,-0.07,4,-12,-2,19.8,2
37677,37,0.03,-0.44,-0.03,1,-13,-1,19.93,2
37678,37,0.2,-0.47,-0.07,6,-14,-2,19.34,2
37679,37,0.14,-0.34,-0.03,4,-10,-1,19.8,2
37680,37,0.1,-0.41,-0.17,3,-12,-5,19.41,2
